year,venue,n_matches,avg_first_innings_total
2021,MA Chidambaram Stadium,10,154.8
2021,Narendra Modi Stadium,5,158.6
2021,Sharjah Cricket Stadium,10,136.9
2021,Sheikh Zayed Stadium,8,159.0
2021,Wankhede Stadium,10,176.6
2022,Brabourne Stadium,16,177.2
2022,Dr DY Patil Sports Academy,20,170.7
2022,Eden Gardens,2,197.5
2022,Maharashtra Cricket Association Stadium,13,171.5
2022,Narendra Modi Stadium,2,143.5
2022,Wankhede Stadium,21,166.8
2023,Arun Jaitley Stadium,7,175.6
2023,Barsapara Cricket Stadium,2,198.0
2023,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",6,151.8
2023,Eden Gardens,7,192.9
2023,Himachal Pradesh Cricket Association Stadium,2,200.0
2023,M. Chinnaswamy Stadium,7,195.6
2023,MA Chidambaram Stadium,9,170.0
2023,Narendra Modi Stadium,9,195.3
2023,Punjab Cricket Association IS Bindra Stadium,5,197.8
2023,Rajiv Gandhi International Stadium,7,174.4
2023,Sawai Mansingh Stadium,5,171.8
2023,Wankhede Stadium,7,197.9
2024,Arun Jaitley Stadium,5,235.2
2024,Barsapara Cricket Stadium,1,144.0
2024,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",7,182.9
2024,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2,231.5
2024,Eden Gardens,7,197.9
2024,Himachal Pradesh Cricket Association Stadium,2,204.0
2024,M. Chinnaswamy Stadium,7,196.9
2024,MA Chidambaram Stadium,9,169.9
2024,Maharaja Yadavindra Singh International Cricket Stadium,5,167.4
2024,Narendra Modi Stadium,8,172.5
2024,Rajiv Gandhi International Stadium,6,204.7
2024,Sawai Mansingh Stadium,5,187.2
2024,Wankhede Stadium,7,188.1
2025,Arun Jaitley Stadium,7,203.3
2025,Barsapara Cricket Stadium,2,166.5
2025,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",8,192.8
2025,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2,186.0
2025,Eden Gardens,6,199.2
2025,Himachal Pradesh Cricket Association Stadium,1,236.0
2025,M. Chinnaswamy Stadium,5,169.0
2025,MA Chidambaram Stadium,6,163.5
2025,Maharaja Yadavindra Singh International Cricket Stadium,6,170.2
2025,Narendra Modi Stadium,9,215.7
2025,Rajiv Gandhi International Stadium,5,203.2
2025,Sawai Mansingh Stadium,7,198.3
2025,Wankhede Stadium,7,175.0
