,Strength (Ŝ),Momentum (M̂),Pressure (P̂)
Strength (Ŝ),0.887188,0.038972,-0.028096
Momentum (M̂),-0.027148,0.934647,-0.015317
Pressure (P̂),0.005641,-0.003034,0.907412
